feature,method,score,leak_risk
PC1,Pearson,0.702,Low
PC4,Pearson,0.4747,Low
city_Cupertino,Pearson,0.4579,Low
CEO_Timothy D. Cook,Pearson,0.4579,Low
Website_www.apple.com,Pearson,0.4579,Low
prev_rank_3.0,Pearson,0.4579,Low
company_Apple,Pearson,0.4579,Low
Ticker_AAPL,Pearson,0.4579,Low
prev_rank_6.0,Pearson,0.4337,Low
CEO_Warren E. Buffett,Pearson,0.4337,Low
Website_www.berkshirehathaway.com,Pearson,0.4337,Low
Ticker_BRKA,Pearson,0.4337,Low
company_Berkshire Hathaway,Pearson,0.4337,Low
Website_https://www.abc.xyz,Pearson,0.3656,Low
CEO_Sundar Pichai,Pearson,0.3656,Low
Ticker_GOOGL,Pearson,0.3656,Low
company_Alphabet,Pearson,0.3656,Low
prev_rank_9.0,Pearson,0.3656,Low
city_Redmond,Pearson,0.2927,Low
Ticker_MSFT,Pearson,0.2927,Low
company_Microsoft,Pearson,0.2927,Low
Website_www.microsoft.com,Pearson,0.2927,Low
CEO_Satya Nadella,Pearson,0.2927,Low
prev_rank_15.0,Pearson,0.2927,Low
Ticker_JPM,Pearson,0.2287,Low
CEO_James Dimon,Pearson,0.2287,Low
Website_www.jpmorganchase.com,Pearson,0.2287,Low
company_JPMorgan Chase,Pearson,0.2287,Low
prev_rank_19.0,Pearson,0.2287,Low
state_NE,Pearson,0.1912,Low
city_Omaha,Pearson,0.1912,Low
Website_https://investor.fb.com,Pearson,0.1844,Low
prev_rank_34.0,Pearson,0.1844,Low
CEO_Mark Zuckerberg,Pearson,0.1844,Low
Ticker_META,Pearson,0.1844,Low
company_Meta Platforms,Pearson,0.1844,Low
city_Mountain View,Pearson,0.1742,Low
CEO_Andrew R. Jassy,Pearson,0.1547,Low
prev_rank_2.0,Pearson,0.1547,Low
company_Amazon,Pearson,0.1547,Low
Website_www.amazon.com,Pearson,0.1547,Low
Ticker_AMZN,Pearson,0.1547,Low
Ticker_BAC,Pearson,0.1478,Low
Website_www.bankofamerica.com,Pearson,0.1478,Low
company_Bank of America,Pearson,0.1478,Low
CEO_Brian T. Moynihan,Pearson,0.1478,Low
prev_rank_29.0,Pearson,0.1478,Low
profitable_yes,Pearson,0.1439,Low
PC3,Pearson,0.1271,Low
city_Menlo Park,Pearson,0.1252,Low
sector_Financials,Pearson,0.113,Low
company_Exxon Mobil,Pearson,0.1036,Low
prev_rank_10.0,Pearson,0.1036,Low
CEO_Darren W. Woods,Pearson,0.1036,Low
Website_www.exxonmobil.com,Pearson,0.1036,Low
Ticker_XOM,Pearson,0.1036,Low
